id,title,content.descriptiveNonRepeating.record_link,content.descriptiveNonRepeating.title.content,content.descriptiveNonRepeating.data_source,content.indexedStructured.date,content.indexedStructured.object_type,content.indexedStructured.name,content.indexedStructured.topic,content.indexedStructured.language,content.indexedStructured.place,content.freetext.date,content.indexedStructured.culture,content.indexedStructured.online_media_rights,content.indexedStructured.online_media_type,content.freetext.culture,content.freetext.publisher
ld1-1643414459528-1643414483579-0,Gerbillus nanus,http://n2t.net/ark:/65665/3799a7441-5e59-483f-ba1f-f6f56c4aee11,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483545-0,Gerbillus nanus,http://n2t.net/ark:/65665/31e39d60c-4f25-4c67-b895-74684b3ea494,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483563-0,Rattus rattus,http://n2t.net/ark:/65665/398a4e419-21f5-4dda-9f1d-18d89c1850a0,Rattus rattus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Rattus rattus'}]"
ld1-1643414459528-1643414483563-1,Gerbillus nanus,http://n2t.net/ark:/65665/3ba35d299-e6a9-4ea9-88b2-9d7efc2e5494,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483585-0,Gerbillus nanus,http://n2t.net/ark:/65665/3592a81bc-822d-4d8b-a98a-8f9168b14e11,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483593-1,Gerbillus nanus,http://n2t.net/ark:/65665/37c08e66c-febc-475c-86d8-09afa5f6d11a,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483588-1,Gerbillus nanus,http://n2t.net/ark:/65665/38846051e-93c9-4a8e-9b90-682013579819,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483576-0,Gerbillus nanus,http://n2t.net/ark:/65665/369518061-9a96-4d82-9595-6284893ebcb8,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1673962875062-1673962940851-1,Gerbillus pyramidum,http://n2t.net/ark:/65665/32dab0b06-bccb-4d66-bc87-ebdec1edbd51,Gerbillus pyramidum,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '13 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus pyramidum'}]"
ld1-1643413286797-1643413319184-1,Brienomyrus niger,http://n2t.net/ark:/65665/30e2e1123-15b2-48cb-b349-c6ba34d402ba,Brienomyrus niger,NMNH - Vertebrate Zoology - Fishes Division,['1980s'],,"['Carberry, W. L.']","['Actinopterygii', 'Fishes']",,"['Mali', 'Africa']","[{'label': 'Collection Date', 'content': '3 Oct 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Brienomyrus niger'}, {'label': 'Published Name', 'content': 'Gnathonemus niger'}]"
ld1-1643413286797-1643413322139-1,Brienomyrus niger,http://n2t.net/ark:/65665/36ee91c5c-c524-4ce2-a507-d77f1b2ed3a9,Brienomyrus niger,NMNH - Vertebrate Zoology - Fishes Division,[],,"['Reid, G. M.']","['Actinopterygii', 'Fishes']",,"['Niger', 'Africa', 'Niamey Urban Community Region']","[{'label': 'Collection Date', 'content': '18 Jul 1980 to 21 Jul 1980'}]",,,,,"[{'label': 'Published Name', 'content': 'Brienomyrus niger'}]"
ld1-1643414114157-1643414166934-1,Campylomormyrus elephas,http://n2t.net/ark:/65665/3f3aaeb1a-ebd9-4b65-9f18-59a9daf7097f,Campylomormyrus elephas,NMNH - Vertebrate Zoology - Fishes Division,['1960s'],,"['Brichard, P.']","['Actinopterygii', 'Fishes']",,"['Africa', 'Democratic Republic of the Congo', 'Kinshasa Province']","[{'label': 'Collection Date', 'content': '1960'}]",,,,,"[{'label': 'Published Name', 'content': 'Campylomormyrus elephas'}]"
ld1-1643414114157-1643414167244-0,Mormyrus rume,http://n2t.net/ark:/65665/35d657d6f-dfc1-4ad5-bfda-b4b8b4c6ec14,Mormyrus rume,NMNH - Vertebrate Zoology - Fishes Division,['1960s'],,"['Brichard, P.']","['Actinopterygii', 'Fishes']",,"['Africa', 'Democratic Republic of the Congo', 'Kinshasa Province']","[{'label': 'Collection Date', 'content': '1960'}]",,,,,"[{'label': 'Published Name', 'content': 'Mormyrus rume'}]"
